case;use_private;use_work;cg_adoption_advantage_01;cg_adoption_advantage_02;cg_adoption_advantage_03;cg_adoption_advantage_04;cg_adoption_fearofuse_01;cg_adoption_fearofuse_02;cg_adoption_fearofuse_03;cg_adoption_fearofuse_04;cg_adoption_social_01;cg_adoption_social_02;cg_adoption_social_03;cg_adoption_social_04;adopter;sd_age;sd_gender;cg_activities
170;4;4;3;4;3;4;3;4;4;4;5;4;4;5;Ich probiere neue Angebote sofort aus.;26;männlich;Texte vorschreiben
183;1;1;4;3;5;4;4;2;5;4;1;1;1;1;Ich warte eher ab, bis sich die Angebote durchgesetzt haben.;20;männlich;Haben nur einmal einen Text schreiben lassen, zum Test
195;2;4;5;5;5;4;4;4;4;3;2;2;3;3;Ich probiere neue Angebote eher schnell aus.;43;weiblich;Textvorschläge formulieren lassen.
212;5;5;4;4;4;4;2;3;2;2;4;4;2;4;Ich probiere neue Angebote sofort aus.;44;weiblich;Ich lasse mir code schreiben
222;2;3;3;2;3;3;5;4;2;2;2;2;2;1;Ich probiere neue Angebote eher schnell aus.;61;männlich;Texte generieren
236;3;1;3;2;3;3;3;3;2;3;2;2;2;2;Ich probiere neue Angebote eher schnell aus.;65;männlich;Webseiten für SEO optimiert.
255;3;1;3;1;4;3;2;1;3;3;4;4;5;4;Ich probiere neue Angebote eher schnell aus.;25;männlich;Wiseensfragen stellen
297;3;4;4;3;4;2;3;4;3;3;3;3;2;2;Ich probiere neue Angebote eher schnell aus.;26;männlich;Texte schreiben
309;3;3;3;4;4;4;2;2;3;2;4;2;1;1;Ich probiere neue Angebote eher schnell aus.;19;männlich;Ich lasse die KI kreative Aufgaben übernehmen, wie zB Ideen sammeln für eine Pro/Contra Liste
325;2;1;4;1;4;3;4;4;3;3;1;2;2;3;Ich probiere neue Angebote eher schnell aus.;63;männlich;k.a.
354;2;4;3;4;4;3;2;2;2;3;4;3;1;2;Ich probiere neue Angebote eher schnell aus.;43;weiblich;Grundlagen erfragen, um Texte darauf aufzubauen
369;3;1;4;2;4;3;2;2;2;2;2;2;1;1;Ich probiere neue Angebote eher schnell aus.;19;männlich;Texte schreiben, und informationen schnell zusammenfassen lassen
373;2;2;3;4;4;4;2;3;5;3;3;2;3;3;Ich probiere neue Angebote eher schnell aus.;43;männlich;herumspielen und ausprobieren
