case;use_private;use_work;cg_adoption_advantage_01;cg_adoption_advantage_02;cg_adoption_advantage_03;cg_adoption_advantage_04;cg_adoption_fearofuse_01;cg_adoption_fearofuse_02;cg_adoption_fearofuse_03;cg_adoption_fearofuse_04;cg_adoption_social_01;cg_adoption_social_02;cg_adoption_social_03;cg_adoption_social_04;adopter;sd_age;sd_gender;cg_activities;cg_act_write;cg_act_test;cg_act_search
170;4;4;3;4;3;4;3;4;4;4;5;4;4;5;I try new offers immediately;26;male;Prescribing texts;x;;
183;1;1;4;3;5;4;4;2;5;4;1;1;1;1;I wait until offers establish themselves;20;male;Only had a text written once, for testing;x;x;
195;2;4;5;5;5;4;4;4;4;3;2;2;3;3;I try new offers rather quickly;43;female;Having text suggestions formulated;x;;
212;5;5;4;4;4;4;2;3;2;2;4;4;2;4;I try new offers immediately;44;female;I have code written for me;x;;
222;2;3;3;2;3;3;5;4;2;2;2;2;2;1;I try new offers rather quickly;61;male;Generating texts;x;;
236;3;1;3;2;3;3;3;3;2;3;2;2;2;2;I try new offers rather quickly;65;male;Websites optimized for SEO;x;;
255;3;1;3;1;4;3;2;1;3;3;4;4;5;4;I try new offers rather quickly;25;male;Asking knowledge questions;;;x
297;3;4;4;3;4;2;3;4;3;3;3;3;2;2;I try new offers rather quickly;26;male;Writing texts;;x;
309;3;3;3;4;4;4;2;2;3;2;4;2;1;1;I try new offers rather quickly;19;male;I let the AI take on creative tasks, like collecting ideas for a pro/con list;;;x
325;2;1;4;1;4;3;4;4;3;3;1;2;2;3;I try new offers rather quickly;63;male;n/a;;;
354;2;4;3;4;4;3;2;2;2;3;4;3;1;2;I try new offers rather quickly;43;female;Asking for basics to build texts on them;;;x
369;3;1;4;2;4;3;2;2;2;2;2;2;1;1;I try new offers rather quickly;19;male;Writing texts and having information quickly summarized;x;;x
373;2;2;3;4;4;4;2;3;5;3;3;2;3;3;I try new offers rather quickly;43;male;Playing around and experimenting;;x;
404;3;1;4;2;4;5;4;2;2;2;2;1;2;1;I try new offers rather quickly;18;female;I use it mainly to avoid having to search too long with Google, for example to get easier answers faster or to find suitable services for me. It does not work very well for complex problems;;;x
405;3;5;3;3;4;4;4;5;5;2;2;4;5;2;I try new offers rather quickly;52;female;Headlines, collecting ideas, social media posts, storyboards;x;;
406;4;4;5;3;5;4;3;2;2;3;2;2;2;4;I wait until offers establish themselves;23;female;Formulating questions and emails;x;;x
417;2;2;4;4;3;4;3;4;4;2;1;1;2;2;I try new offers rather quickly;35;male;Writing text blocks for concert programs, namely for transitions from one music piece to another. Writing the whole scenario and dividing it into semantic topic blocks;x;;
429;4;1;4;1;4;3;2;1;1;1;1;2;1;3;I try new offers rather quickly;34;female;I optimize book reviews with it;x;;
449;4;4;4;1;4;5;2;2;2;2;2;1;1;2;I try new offers rather quickly;39;female;Creating emails, creating Instagram stories;x;;
456;3;2;4;2;4;3;3;5;2;4;1;1;4;2;I try new offers rather quickly;61;male;Historically classifying information on current topics;;;x
483;5;5;5;5;5;5;1;5;5;5;5;5;5;5;I try new offers immediately;48;male;I have texts created;x;;
497;3;4;4;3;4;4;4;3;3;4;4;2;3;2;I try new offers immediately;35;male;Asking for information;;;x
